[2025-02-16 08:20:21,401: INFO: main: line 6: New log is here]
[2025-02-16 08:21:01,660: INFO: main: line 6: New log is here]
[2025-02-16 09:55:26,012: INFO: extract_mongodb: line 13: Connecting MongoDB server]
[2025-02-16 09:55:26,477: INFO: extract_mongodb: line 18: MongoDB server connected]
[2025-02-16 09:55:26,477: INFO: extract_mongodb: line 19: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 09:55:28,145: INFO: extract_mongodb: line 23: Loaded {df.shape[0]} records from db and converted into pandas DataFrame]
[2025-02-16 09:55:28,153: INFO: extract_mongodb: line 25: Drop unnecessary column '_id']
[2025-02-16 09:56:31,072: INFO: extract_mongodb: line 13: Connecting MongoDB server]
[2025-02-16 09:56:31,316: INFO: extract_mongodb: line 18: MongoDB server connected]
[2025-02-16 09:56:31,316: INFO: extract_mongodb: line 19: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 09:56:32,963: INFO: extract_mongodb: line 23: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 09:56:32,963: INFO: extract_mongodb: line 25: Drop unnecessary column '_id']
[2025-02-16 09:59:14,319: INFO: extract_mongodb: line 13: Connecting MongoDB server]
[2025-02-16 09:59:14,578: INFO: extract_mongodb: line 18: MongoDB server connected]
[2025-02-16 09:59:14,578: INFO: extract_mongodb: line 19: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 09:59:16,355: INFO: extract_mongodb: line 23: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 09:59:16,361: INFO: extract_mongodb: line 25: Drop unnecessary column '_id']
[2025-02-16 11:23:15,833: INFO: extract_mongodb: line 13: Connecting MongoDB server]
[2025-02-16 11:23:16,106: INFO: extract_mongodb: line 18: MongoDB server connected]
[2025-02-16 11:23:16,106: INFO: extract_mongodb: line 19: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
[2025-02-16 11:23:17,761: INFO: extract_mongodb: line 23: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 11:23:17,761: INFO: extract_mongodb: line 25: Drop unnecessary column '_id']
[2025-02-16 13:02:11,595: INFO: extract_mongodb: line 17: Connecting MongoDB server]
[2025-02-16 13:02:12,052: INFO: extract_mongodb: line 22: MongoDB server connected]
[2025-02-16 13:02:12,052: INFO: extract_mongodb: line 23: Loading data from mongodb collection: fuel_consumption_data_1995_2014]
